unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	recovery_status
UNIT0113-14-010	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	El Ausente	REC001372;REC001373;REC005699	SONG001044	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-16-001	Íntimo - Siente el Vallenato	Varios Artistas	performer	1.Me Sobran Las Palabras | Duban Bayona			artist_not_matched_to_authority	entity_needed
UNIT0113-16-002	Íntimo - Siente el Vallenato	Varios Artistas	performer	2.Voy A Olvidarte | Amín Martinez			artist_not_matched_to_authority	entity_needed
UNIT0113-16-003	Íntimo - Siente el Vallenato	Varios Artistas	performer	3.Solo Hay Una | Luis Miguel Fuentes			artist_not_matched_to_authority	entity_needed
UNIT0113-16-004	Íntimo - Siente el Vallenato	Varios Artistas	performer	4.Donde Estarás | Robinson Damían			artist_not_matched_to_authority	entity_needed
UNIT0113-16-005	Íntimo - Siente el Vallenato	Varios Artistas	performer	5.No Te Olvidaré | Luis Mateus			artist_not_matched_to_authority	entity_needed
UNIT0113-16-006	Íntimo - Siente el Vallenato	Varios Artistas	performer	6.Por que Te Amo | Diomedes Dionisio Diaz			artist_not_matched_to_authority	entity_needed
UNIT0113-16-007	Íntimo - Siente el Vallenato	Varios Artistas	performer	7.Tierra Mala | Amín Martinez			artist_not_matched_to_authority	entity_needed
UNIT0113-16-008	Íntimo - Siente el Vallenato	Varios Artistas	performer	8.Vuelvete a Ir | Fabian Corrales			artist_not_matched_to_authority	entity_needed
UNIT0113-16-009	Íntimo - Siente el Vallenato	Varios Artistas	performer	También puedes escucharlo en las plataformas digitales:			artist_not_matched_to_authority	entity_needed
UNIT0113-16-010	Íntimo - Siente el Vallenato	Varios Artistas	performer	ÍNTIMO – Siente el Vallenato			artist_not_matched_to_authority	entity_needed
